            "symptom_text","severity","additional_symptoms","specialization"
"child vomiting after eating for several days","medium","stomach pain","Pediatrics"
"trouble falling asleep and staying asleep for a week","medium","daytime fatigue","Psychiatry"
"minor single pimple on chin","low","none","Dermatology"
"chicken pox rash in child for a few hours","medium","fever itching","Pediatrics"
"cardiac arrhythmia fluttering chest since yesterday","medium","lightheadedness","Cardiology"
"pulled muscle in thigh for ten days","medium","swelling bruising","Orthopedics"
"toddler mild cough for two weeks","low","none","Pediatrics"
"fainted once while standing","medium","dehydration fatigue","General Physician"
"slight stress from work for ten days","low","none","Psychiatry"
"sudden blurry vision recently","medium","headache","Ophthalmology"
"ulcer pain burning stomach off and on for months","medium","nausea loss of appetite","Gastroenterology"
"cold and runny nose for a day","medium","sneezing sore throat","General Physician"
"feeling hopeless and worthless for several days","medium","loss of interest","Psychiatry"
"nasal congestion blocked nose for ten days","medium","runny nose sneezing","ENT"
"rapid heartbeat and fluttering for a few hours","medium","dizziness sweating","Cardiology"
"occasional itchy skin patch recently","low","none","Dermatology"
"chest pain severe and unbearable for two days","high","sweating vomiting","Cardiology"
"cannot sleep insomnia since this morning","medium","anxiety fatigue","Psychiatry"
"blurry vision for a month","medium","headache eye strain","Ophthalmology"
"strep throat with fever since this morning","medium","painful swallowing","ENT"
"not feeling well in general for a week","medium","tired low energy","General Physician"
"vomiting after meals for about a week","medium","weakness","Gastroenterology"
"feeling unwell for several days","medium","mild fever fatigue","General Physician"
"slight dry skin for several days","low","none","Dermatology"
"snoring and sleep apnea for a few hours","medium","daytime sleepiness","ENT"
"food poisoning vomiting and diarrhea for a week","medium","fever dehydration","Gastroenterology"
"neck pain and stiffness for a few hours","medium","headache shoulder pain","Orthopedics"
"kid mild fever for a day","low","none","Pediatrics"
"addiction craving alcohol since yesterday","medium","withdrawal anxiety","Psychiatry"
"persistent cough for two days","medium","mild fever fatigue","General Physician"
"blocked ear sensation for two weeks","medium","muffled hearing","ENT"
"fracture wrist pain and swelling","high","bruising numbness","Orthopedics"
"severe abdominal pain cannot move since yesterday","high","vomiting fever","Gastroenterology"
"stye red bump on eyelid for two weeks","medium","pain tearing","Ophthalmology"
"occasional trouble relaxing","low","none","Psychiatry"
"hip pain walking long distances for a day","medium","stiffness","Orthopedics"
"fatigue and weakness for two weeks","medium","loss of appetite","General Physician"
"minor dry skin for a week","low","none","Dermatology"
"dislocated shoulder intense pain","high","swelling numbness","Orthopedics"
"cluster headache behind one eye","medium","tearing nasal congestion","Neurology"
"a little stomach ache for several days","low","none","Gastroenterology"
"slight cough recently","low","none","General Physician"
"occasional knee twinge after stairs","low","none","Orthopedics"
"pounding heart and chest tightness off and on for months","medium","sweating dizziness","Cardiology"
"numbness in face and arm for several days","high","slurred speech weakness","Neurology"
"swollen lymph nodes neck for three days","medium","sore throat fever","ENT"
"high fever 104 with chills and weakness","high","body ache confusion","General Physician"
"acid reflux and heartburn after meals for a day","medium","burping","Gastroenterology"
"a little runny nose for a few hours","low","none","General Physician"
"occasional dizziness when standing up","low","none","Neurology"
"angina chest pain on walking for a month","high","breathlessness","Cardiology"
"mild itchy eyes for ten days","low","none","Ophthalmology"
"slight loose motion for a month","low","none","Gastroenterology"
"persistent nausea for two weeks","medium","loss of appetite","Gastroenterology"
"hearing voices and hallucinations for a week","high","paranoia","Psychiatry"
"fever 102 body ache and cough for ten days","medium","fatigue weakness","General Physician"
"minor bloating after eating","low","none","Gastroenterology"
"baby teething and drooling","low","mild fussiness","Pediatrics"
"severe eye pain and blurred vision for a day","high","light sensitivity","Ophthalmology"
"ongoing anxiety and worry for a week","medium","restlessness insomnia","Psychiatry"
"infant constipation and crying for several days","medium","gas","Pediatrics"
"occasional cold on and off for weeks","low","none","General Physician"
"allergic reaction with sneezing for several days","medium","runny nose","General Physician"
"obsessive thoughts and compulsions off and on for months","medium","anxiety","Psychiatry"
"slight single pimple on chin","low","none","Dermatology"
"high blood pressure and dizziness since this morning","medium","headache fatigue","Cardiology"
"occasional runny nose for about a week","low","none","General Physician"
"baby wont stop crying and has fever on and off for weeks","medium","pulling ears","Pediatrics"
"slight hoarse voice","low","none","ENT"
"mild stiff neck after sleeping wrong","low","none","Orthopedics"
"neck pain and stiffness since yesterday","medium","headache shoulder pain","Orthopedics"
"slight sunburn for about a week","low","slight peeling","Dermatology"
"indigestion since this morning","medium","nausea bloating","Gastroenterology"
"unexplained weight loss on and off for weeks","medium","fatigue","General Physician"
"fever 102 body ache and cough for two days","medium","fatigue weakness","General Physician"
"flu like symptoms since this morning","medium","body ache fatigue","General Physician"
"panic attacks and racing heart since yesterday","medium","sweating sense of doom","Psychiatry"
"diarrhea for a month","medium","dehydration abdominal cramps","Gastroenterology"
"occasional itchy eyes on and off for weeks","low","none","Ophthalmology"
"slight heartburn occasionally","low","none","Gastroenterology"
"dandruff and scalp itching on and off for weeks","medium","flakes","Dermatology"
"mood swings high and low for ten days","medium","irritability","Psychiatry"
"child seizure and fever","high","unresponsive","Pediatrics"
"slight sore throat for a week","low","none","ENT"
"severe ear pain with bleeding for a day","high","hearing loss fever","ENT"
"child asthma wheezing for a day","medium","cough breathing difficulty","Pediatrics"
"i feel unwell","low","none","General Physician"
"occasional stress from work off and on for months","low","none","Psychiatry"
"mild tightness in chest after exercise","low","none","Cardiology"
"slight headache for about a week","low","none","Neurology"
"severe ear pain with bleeding for about a week","high","hearing loss fever","ENT"
"difficulty concentrating at work recently","medium","low mood","Psychiatry"
"allergic reaction with sneezing since yesterday","medium","runny nose","General Physician"
"mild dizziness when standing up","low","none","Neurology"
"indigestion for a day","medium","nausea bloating","Gastroenterology"
"mood swings high and low for two days","medium","irritability","Psychiatry"
"bloody stools and abdominal pain for two days","medium","weakness","Gastroenterology"
"gallbladder pain after fatty meal off and on for months","medium","nausea bloating","Gastroenterology"
"i feel unwell","low","none","General Physician"
"thinning hair and bald spots for a day","medium","dry scalp","Dermatology"
"severe ear pain with bleeding off and on for months","high","hearing loss fever","ENT"
"baby high fever over 103 for a day","high","not drinking lethargic","Pediatrics"
"stye red bump on eyelid for several days","medium","pain tearing","Ophthalmology"
"headache three out of ten for about a week","low","none","Neurology"
"hand tremors since yesterday","medium","weakness","Neurology"
"ulcer pain burning stomach since this morning","medium","nausea loss of appetite","Gastroenterology"
"kid frequent colds and cough","medium","runny nose","Pediatrics"
"minor itchy eyes off and on for months","low","none","Ophthalmology"
"loss of interest in hobbies since yesterday","medium","low mood","Psychiatry"
"minor runny nose for three days","low","none","General Physician"
"newborn refusing feeds and very sleepy","high","yellow skin","Pediatrics"
"depression low mood and no energy on and off for weeks","medium","insomnia poor appetite","Psychiatry"
"laryngitis lost voice for a week","medium","sore throat","ENT"
"occasional dry skin for three days","low","none","Dermatology"
"severe back pain cannot move for a month","high","muscle spasm stiffness","Orthopedics"
"child with severe dehydration since this morning","high","no urine lethargy","Pediatrics"
"a little trouble relaxing","low","none","Psychiatry"
"memory loss and confusion for a week","medium","disorientation","Neurology"
"a little indigestion after heavy meal","low","none","Gastroenterology"
"difficulty reading close up for several days","medium","eye fatigue","Ophthalmology"
"changing mole on back for several days","medium","irregular borders","Dermatology"
"cluster headache behind one eye","medium","tearing nasal congestion","Neurology"
"laryngitis lost voice for several days","medium","sore throat","ENT"
"cystic acne painful bumps for a month","medium","scarring","Dermatology"
"arthritis pain and stiffness for a month","medium","joint swelling","Orthopedics"
"feeling hopeless and worthless for ten days","medium","loss of interest","Psychiatry"
"eye redness and irritation for several days","medium","watering","Ophthalmology"
"occasional stomach ache for two days","low","none","Gastroenterology"
"general malaise since this morning","medium","low energy","General Physician"
"constant ear pain and fullness since yesterday","medium","mild hearing loss","ENT"
"neck pain and stiffness for ten days","medium","headache shoulder pain","Orthopedics"
"toddler mild cough off and on for months","low","none","Pediatrics"
"i feel bad for about a week","low","none","General Physician"
"ulcer pain burning stomach recently","medium","nausea loss of appetite","Gastroenterology"
"sore throat and difficulty swallowing for ten days","medium","fever swollen glands","ENT"
"sudden crushing chest pain radiating to left arm","high","sweating nausea shortness of breath","Cardiology"
"severe throat pain cannot swallow recently","high","fever swelling","ENT"
"minor feeling tired on and off for weeks","low","none","General Physician"
"tingling in feet and legs for a day","medium","numbness","Neurology"
"mild dandruff occasional","low","none","Dermatology"
"grief after losing family member since this morning","medium","sadness insomnia","Psychiatry"
"mild single pimple on chin","low","none","Dermatology"
"tremor and loss of balance since this morning","high","weakness","Neurology"
"indigestion recently","medium","nausea bloating","Gastroenterology"
"pounding heart and chest tightness for several days","medium","sweating dizziness","Cardiology"
"nightmares and disturbed sleep for ten days","medium","anxiety","Psychiatry"
"child bedwetting on and off for weeks","medium","none","Pediatrics"
"swollen eyelid with pain for a month","medium","redness","Ophthalmology"
"mild stomach ache for ten days","low","none","Gastroenterology"
"i feel bad for a month","low","none","General Physician"
"severe flu unable to get out of bed for three days","high","fever cough body ache","General Physician"
"unbearable knee pain after fall","high","swelling bruising","Orthopedics"
"dizziness and room spinning vertigo for a week","medium","nausea balance issues","Neurology"
"minor sunburn on and off for weeks","low","slight peeling","Dermatology"
"fever 102 body ache and cough for two weeks","medium","fatigue weakness","General Physician"
"infant not breathing well on and off for weeks","high","blue lips lethargy","Pediatrics"
"fatigue and weakness on and off for weeks","medium","loss of appetite","General Physician"
"eye redness and irritation for a week","medium","watering","Ophthalmology"
"cataracts cloudy vision for a week","medium","glare sensitivity","Ophthalmology"
"child bedwetting for several days","medium","none","Pediatrics"
"acid reflux and heartburn after meals since yesterday","medium","burping","Gastroenterology"
"slight sneezing for a week","low","none","ENT"
"moderate shoulder pain lifting arm for about a week","medium","stiffness weakness","Orthopedics"
"fungal infection between toes on and off for weeks","medium","itching peeling","Dermatology"
"persistent nausea since yesterday","medium","loss of appetite","Gastroenterology"
"moderate ear pain and fullness for ten days","medium","mild hearing loss","ENT"
"baby high fever over 103 since this morning","high","not drinking lethargic","Pediatrics"
"persistent knee pain when climbing stairs on and off for weeks","medium","swelling stiffness","Orthopedics"
"shortness of breath on exertion recently","medium","fatigue ankle swelling","Cardiology"
"baby feeding problems on and off for weeks","medium","fussy gassy","Pediatrics"
"hair loss in patches for two weeks","medium","itching scaly scalp","Dermatology"
"chest pain when climbing stairs for ten days","medium","breathlessness fatigue","Cardiology"
"occasional sneezing off and on for months","low","none","ENT"
"mild ear itching for a week","low","none","ENT"
"a little back ache after long sitting","low","none","Orthopedics"
"severe dizziness with fainting for two weeks","high","nausea blurred vision","Neurology"
"ongoing chest pain and pressure for a day","medium","sweating lightheadedness","Cardiology"
"sudden face swelling with hives","high","itching breathing trouble","Dermatology"
"conjunctivitis pink eye since this morning","medium","discharge itching","Ophthalmology"
"slight dandruff occasional","low","none","Dermatology"
"moderate stomach pain recently","medium","nausea","Gastroenterology"
"shortness of breath on exertion off and on for months","medium","fatigue ankle swelling","Cardiology"
"bothering eye pain recently","medium","redness tearing","Ophthalmology"
"seizure and loss of consciousness","high","confusion fatigue","Neurology"
"heartburn and chest burning after eating for two weeks","medium","regurgitation","Gastroenterology"
"occasional constipation for about a week","low","none","Gastroenterology"
"tonsillitis with white spots on throat for a month","medium","fever swallowing pain","ENT"
"occasional bloating after eating","low","none","Gastroenterology"
"thinning hair and bald spots for two days","medium","dry scalp","Dermatology"
"a little headache and fatigue","low","none","General Physician"
"toddler fever and rash on and off for weeks","medium","irritability","Pediatrics"
"irritable bowel alternating diarrhea constipation for several days","medium","bloating","Gastroenterology"
"frequent headaches for a month","medium","nausea fatigue","Neurology"
"heartburn and chest burning after eating recently","medium","regurgitation","Gastroenterology"
"a little redness in eyes after screens","low","none","Ophthalmology"
"child ear infection and crying recently","medium","fever irritability","Pediatrics"
"flashes of light and floaters for a week","high","partial vision loss","Ophthalmology"
"mild itchy skin patch since this morning","low","none","Dermatology"
"fracture wrist pain and swelling","high","bruising numbness","Orthopedics"
"toddler diarrhea and vomiting since this morning","medium","dehydration","Pediatrics"
"sudden worst headache of my life","high","neck stiffness vomiting","Neurology"
"rare mild migraine for three days","low","slight nausea","Neurology"
"cystic acne painful bumps on and off for weeks","medium","scarring","Dermatology"
"kid mild fever for a week","low","none","Pediatrics"
"a little eye strain for a day","low","none","Ophthalmology"
"minor muscle soreness after exercise","low","none","Orthopedics"
"strep throat with fever for several days","medium","painful swallowing","ENT"
"tingling in feet and legs on and off for weeks","medium","numbness","Neurology"
"nightmares and disturbed sleep for two weeks","medium","anxiety","Psychiatry"
"hip pain walking long distances for a week","medium","stiffness","Orthopedics"
"moderate anxiety and worry for a month","medium","restlessness insomnia","Psychiatry"
"child with fever and cough for three days","medium","runny nose body ache","Pediatrics"
"baby wont stop crying and has fever for a few hours","medium","pulling ears","Pediatrics"
"a little knee twinge after stairs","low","none","Orthopedics"
"sudden worst headache of my life","high","neck stiffness vomiting","Neurology"
"cannot sleep insomnia on and off for weeks","medium","anxiety fatigue","Psychiatry"
"bothering anxiety and worry for ten days","medium","restlessness insomnia","Psychiatry"
"dry itchy patches of skin for a few hours","medium","flaking","Dermatology"
"slight knee twinge after stairs","low","none","Orthopedics"
"irregular heartbeat since this morning","medium","fatigue shortness of breath","Cardiology"
"hives and welts for a few hours","medium","itching","Dermatology"
"yellow eyes jaundice off and on for months","medium","dark urine fatigue","Gastroenterology"
"flashes of light and floaters for about a week","high","partial vision loss","Ophthalmology"
"chicken pox rash in child for three days","medium","fever itching","Pediatrics"
"slight runny nose for a month","low","none","General Physician"
"severe chest pressure and tightness for two weeks","high","sweating cold clammy skin","Cardiology"
"child with severe dehydration for a month","high","no urine lethargy","Pediatrics"
"thunderclap headache for two weeks","high","neck stiffness confusion","Neurology"
"nasal congestion blocked nose since this morning","medium","runny nose sneezing","ENT"
"moderate lower back pain for a few hours","medium","stiffness","Orthopedics"
"mild ankle ache after long walk","low","none","Orthopedics"
"low grade headache for a day","low","slight fatigue","Neurology"
"seizure and loss of consciousness","high","confusion fatigue","Neurology"
"slight blurred vision when tired","low","none","Ophthalmology"
"acne breakouts on face on and off for weeks","medium","oily skin","Dermatology"
"ongoing back ache after lifting heavy things","medium","muscle soreness","Orthopedics"
"glaucoma high eye pressure","medium","blurred vision","Ophthalmology"
"frozen shoulder restricted movement off and on for months","medium","stiffness pain","Orthopedics"
"migraine attacks for two days","medium","nausea sensitivity to sound","Neurology"
"double vision on and off for weeks","medium","dizziness","Ophthalmology"
"slight palpitations after caffeine on and off for weeks","low","none","Cardiology"
"dry itchy eyes for about a week","medium","redness","Ophthalmology"
"swollen lymph nodes neck for two weeks","medium","sore throat fever","ENT"
"a little acne since this morning","low","none","Dermatology"
"sudden sharp stomach pain for three days","high","vomiting sweating","Gastroenterology"
"a little sneezing for a month","low","none","ENT"
"dandruff and scalp itching for about a week","medium","flakes","Dermatology"
"vomiting after meals off and on for months","medium","weakness","Gastroenterology"
"constipation and bloating for three days","medium","abdominal discomfort","Gastroenterology"
"not feeling well in general recently","medium","tired low energy","General Physician"
"ringing in ears tinnitus for a month","medium","dizziness","ENT"
"a little muscle soreness after exercise","low","none","Orthopedics"
"dry itchy eyes off and on for months","medium","redness","Ophthalmology"
"a little stress from work for about a week","low","none","Psychiatry"
"conjunctivitis pink eye for about a week","medium","discharge itching","Ophthalmology"
"general health checkup","low","none","General Physician"
"post nasal drip and cough for a few hours","medium","throat irritation","ENT"
"hand tremors since this morning","medium","weakness","Neurology"
"painful skin infection with pus for two days","high","fever swelling","Dermatology"
"grief after losing family member for two weeks","medium","sadness insomnia","Psychiatry"
"occasional acne on and off for weeks","low","none","Dermatology"
"vertigo with ear fullness for about a week","medium","nausea hearing loss","ENT"
"a little numbness in fingertip for two days","low","none","Neurology"
"headache three out of ten for ten days","low","none","Neurology"
"slow heart rate and fainting spells recently","medium","weakness","Cardiology"
"toddler diarrhea and vomiting for a day","medium","dehydration","Pediatrics"
"eye strain from screens for a month","medium","headache dryness","Ophthalmology"
"a little ear itching for a few hours","low","none","ENT"
"severe migraine with aura and vomiting","high","light sensitivity nausea","Neurology"
"minor constipation for two weeks","low","none","Gastroenterology"
"minor headache and fatigue","low","none","General Physician"
"mild fluttering in chest occasionally","low","none","Cardiology"
"numbness and tingling in hands for a week","medium","weakness","Neurology"
"liver pain right upper abdomen for a week","medium","nausea fatigue","Gastroenterology"
"bothering rash on arms and legs for about a week","medium","itching","Dermatology"
"slow heart rate and fainting spells for two days","medium","weakness","Cardiology"
"twisted ankle swelling after football","medium","bruising","Orthopedics"
"a little nervous feeling before exams","low","none","Psychiatry"
"persistent nausea for two days","medium","loss of appetite","Gastroenterology"
"liver pain right upper abdomen on and off for weeks","medium","nausea fatigue","Gastroenterology"
"yellow eyes jaundice for three days","medium","dark urine fatigue","Gastroenterology"
"warts on hands for three days","medium","none","Dermatology"
"minor ear itching for a day","low","none","ENT"
"heart attack symptoms crushing chest pain for a month","high","sweating weakness nausea","Cardiology"
"tension headache for about a week","medium","neck pain shoulder tightness","Neurology"
"minor nervous feeling before exams","low","none","Psychiatry"
"light sensitivity and pain for three days","medium","watering","Ophthalmology"
"kid mild fever off and on for months","low","none","Pediatrics"
"baby vaccination schedule review","medium","none","Pediatrics"
"hives and welts off and on for months","medium","itching","Dermatology"
"ptsd flashbacks and nightmares for a month","medium","anxiety hypervigilance","Psychiatry"
"minor chest discomfort after eating off and on for months","low","bloating","Cardiology"
"swollen ankles and breathlessness for several days","medium","fatigue weight gain","Cardiology"
"skin redness and peeling since this morning","medium","itching","Dermatology"
"persistent headache for weeks","medium","dizziness fatigue","Neurology"
"sinus pressure behind eyes for three days","medium","headache nasal congestion","ENT"
"infant constipation and crying since this morning","medium","gas","Pediatrics"
"angina chest pain on walking for two weeks","high","breathlessness","Cardiology"
"skin allergy with swelling for a week","medium","redness itching","Dermatology"
"constant shoulder pain lifting arm off and on for months","medium","stiffness weakness","Orthopedics"
"annual checkup and general health review","medium","none","General Physician"
"occasional muscle soreness after exercise","low","none","Orthopedics"
"rosacea redness on cheeks for two weeks","medium","flushing","Dermatology"
"elbow pain with tenderness recently","medium","weakness when lifting","Orthopedics"
"migraine attacks for ten days","medium","nausea sensitivity to sound","Neurology"
"warts on hands for about a week","medium","none","Dermatology"
"ongoing eye pain off and on for months","medium","redness tearing","Ophthalmology"
"ringing in ears tinnitus for about a week","medium","dizziness","ENT"
"sudden vision loss one eye","high","eye pain headache","Ophthalmology"
"child asthma wheezing for a month","medium","cough breathing difficulty","Pediatrics"
"fungal infection between toes off and on for months","medium","itching peeling","Dermatology"
"slight indigestion after heavy meal","low","none","Gastroenterology"
"toddler mild cough for a day","low","none","Pediatrics"
"pulled muscle in thigh on and off for weeks","medium","swelling bruising","Orthopedics"
"wrist pain after typing for two days","medium","numbness tingling","Orthopedics"
"sprained ankle swelling recently","medium","limping","Orthopedics"
"child ear infection and crying for two weeks","medium","fever irritability","Pediatrics"
"social anxiety fear of people for two days","medium","avoidance","Psychiatry"
"chronic sinusitis since this morning","medium","nasal discharge headache","ENT"
"suicidal thoughts and hopelessness for a week","high","insomnia appetite loss","Psychiatry"
"hand tremors for several days","medium","weakness","Neurology"
"a little single pimple on chin","low","none","Dermatology"
"wrist pain after typing since yesterday","medium","numbness tingling","Orthopedics"
"toddler not walking yet","medium","developmental concern","Pediatrics"
"memory loss and confusion for two days","medium","disorientation","Neurology"
"minor back ache after long sitting","low","none","Orthopedics"
"constant rash on arms and legs for a week","medium","itching","Dermatology"
"mood swings high and low off and on for months","medium","irritability","Psychiatry"
"thinning hair and bald spots for two weeks","medium","dry scalp","Dermatology"
"bloating and gas after meals for three days","medium","burping","Gastroenterology"
"kid with sore throat and fever since yesterday","medium","cough","Pediatrics"
"viral infection fever and chills for a week","medium","body ache","General Physician"
"severe flu unable to get out of bed for two days","high","fever cough body ache","General Physician"
"laryngitis lost voice recently","medium","sore throat","ENT"
"severe panic attack racing heart and fear of dying","high","sweating shaking","Psychiatry"
"severe abdominal pain cannot move for a day","high","vomiting fever","Gastroenterology"
"flu like symptoms for two days","medium","body ache fatigue","General Physician"
"sinus infection blocked nose and headache for a month","medium","facial pain fatigue","ENT"
"nasal congestion blocked nose off and on for months","medium","runny nose sneezing","ENT"
"bloody stools and abdominal pain since this morning","medium","weakness","Gastroenterology"
"headache and fever off and on for months","medium","body ache","General Physician"
"occasional hoarse voice","low","none","ENT"
"slight redness in eyes after screens","low","none","Ophthalmology"
"minor acne recently","low","none","Dermatology"
"severe rash spreading all over body for a week","high","fever itching","Dermatology"
"child rash with fever for two days","medium","itching","Pediatrics"
"mild feeling tired for several days","low","none","General Physician"
"sciatica shooting pain down leg off and on for months","medium","numbness tingling","Orthopedics"
"rosacea redness on cheeks for two days","medium","flushing","Dermatology"
"bothering headache for two weeks","medium","nausea sensitivity to light","Neurology"
"chest pain severe and unbearable for about a week","high","sweating vomiting","Cardiology"
"loss of interest in hobbies for a day","medium","low mood","Psychiatry"
"diarrhea for three days","medium","dehydration abdominal cramps","Gastroenterology"
"mild heartburn occasionally","low","none","Gastroenterology"
"child growth and developmental checkup","medium","none","Pediatrics"
"scratchy feeling in eye for two days","medium","watering","Ophthalmology"
"food poisoning vomiting and diarrhea for a few hours","medium","fever dehydration","Gastroenterology"
"child rash with fever for a day","medium","itching","Pediatrics"
"a little ankle ache after long walk","low","none","Orthopedics"
"generalized anxiety constant worry for ten days","medium","muscle tension","Psychiatry"
"nose bleed recurrent for ten days","medium","none","ENT"
"minor heartburn occasionally","low","none","Gastroenterology"
"slight feeling tired for a day","low","none","General Physician"
"toddler not walking yet","medium","developmental concern","Pediatrics"
"minor ankle ache after long walk","low","none","Orthopedics"
"sudden numbness one side of body","high","confusion difficulty speaking","Neurology"
"wrist pain after typing for a day","medium","numbness tingling","Orthopedics"
"persistent ear pain and fullness recently","medium","mild hearing loss","ENT"
"heart attack symptoms crushing chest pain for a week","high","sweating weakness nausea","Cardiology"
"nose bleed recurrent for two weeks","medium","none","ENT"
"skin redness and peeling since yesterday","medium","itching","Dermatology"
"kid with sore throat and fever since this morning","medium","cough","Pediatrics"
"flashes of light and floaters for two days","high","partial vision loss","Ophthalmology"
"ringworm circular rash for a week","medium","itching","Dermatology"
"cold and runny nose for ten days","medium","sneezing sore throat","General Physician"
"bothering eczema flare up with itching for two days","medium","dry skin redness","Dermatology"
"irritability and anger outbursts since yesterday","medium","stress","Psychiatry"
"dehydration and weakness since yesterday","medium","dizziness","General Physician"
"knee swelling after running for about a week","medium","pain stiffness","Orthopedics"
"occasional heartburn occasionally","low","none","Gastroenterology"
"ongoing shoulder pain lifting arm off and on for months","medium","stiffness weakness","Orthopedics"
"minor dandruff occasional","low","none","Dermatology"
"slight constipation since yesterday","low","none","Gastroenterology"
"heart palpitations and racing heartbeat for a month","medium","anxiety sweating","Cardiology"
"fever and sore throat since this morning","medium","cough runny nose","General Physician"
